Name,SMILES,Concentration (mM),Exp. % MGS
4-methoxyphenyl ß-d-galactopyranoside,COc1ccc(O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)cc1,22,78.3
4-methoxyphenyl ß-d-glucopyranoside,COc1ccc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1,22,23.3
4-methoxyphenyl α-d-galactopyranoside,COc1ccc(O[C@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)cc1,22,76.4
4-methoxyphenyl α-d-glucopyranoside,COc1ccc(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1,22,63.2
4-bromophenyl ß-d-glucopyranoside,OC[C@H]1O[C@@H](Oc2ccc(Br)cc2)[C@H](O)[C@@H](O)[C@@H]1O,22,10.0
4-chlorophenyl β-d-glucopyranoside,OC[C@H]1O[C@@H](Oc2ccc(Cl)cc2)[C@H](O)[C@@H](O)[C@@H]1O,22,14.1
4-fluorophenyl ß-d-glucopyranoside,OC[C@H]1O[C@@H](Oc2ccc(F)cc2)[C@H](O)[C@@H](O)[C@@H]1O,22,23.3
4-hydroxyphenyl ß-d-glucopyranoside,OC[C@H]1O[C@@H](Oc2ccc(O)cc2)[C@H](O)[C@@H](O)[C@@H]1O,22,61.8
4-methylphenyl ß-d-glucopyranoside,Cc1ccc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1,22,62.3
phenyl ß-d-glucopyranoside,OC[C@H]1O[C@@H](Oc2ccccc2)[C@H](O)[C@@H](O)[C@@H]1O,22,64.4
4-(methoxycarbonyl)phenyl ß-d-glucopyranoside,COC(=O)c1ccc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1,22,49.1
4-trifluoromethylphenyl ß-d-glucopyranoside,OC[C@H]1O[C@@H](Oc2ccc(cc2)C(F)(F)F)[C@H](O)[C@@H](O)[C@@H]1O,22,33.2
4-nitrophenyl ß-d-glucopyranoside,OC[C@H]1O[C@@H](Oc2ccc(cc2)[N+]([O-])=O)[C@H](O)[C@@H](O)[C@@H]1O,22,60.9
4-bromophenyl ß-d-galactopyranoside,OC[C@H]1O[C@@H](Oc2ccc(Br)cc2)[C@H](O)[C@@H](O)[C@H]1O,22,6.2
4-chlorophenyl ß-d-galactopyranoside,OC[C@H]1O[C@@H](Oc2ccc(Cl)cc2)[C@H](O)[C@@H](O)[C@H]1O,22,21.1
4-fluorophenyl β-d-galactopyranoside,OC[C@H]1O[C@@H](Oc2ccc(F)cc2)[C@H](O)[C@@H](O)[C@H]1O,22,79.7
4-hydroxyphenyl ß-d-galactopyranoside,OC[C@H]1O[C@@H](Oc2ccc(O)cc2)[C@H](O)[C@@H](O)[C@H]1O,22,81.1
4-methylphenyl β-d-galactopyranoside,Cc1ccc(O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)cc1,22,88.3
phenyl β-d-galactopyranoside,OC[C@H]1O[C@@H](Oc2ccccc2)[C@H](O)[C@@H](O)[C@H]1O,22,79.1
methyl 4-(β-d-galactopyranosyloxy)benzoate,COC(=O)c1ccc(O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)cc1,22,29.9
4-acetamidophenyl β-d-galactopyranoside,CC(=O)Nc1ccc(O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)cc1,22,81.9
4-(trifluoromethyl)phenyl β-d-galactopyranoside,OC[C@H]1O[C@@H](Oc2ccc(cc2)C(F)(F)F)[C@H](O)[C@@H](O)[C@H]1O,22,57.9
4-nitrophenyl β-d-galactopyranoside,OC[C@H]1O[C@@H](Oc2ccc(cc2)[N+]([O-])=O)[C@H](O)[C@@H](O)[C@H]1O,22,45.6
3-methylphenyl ß-d-glucopyranoside,Cc1cccc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c1,22,79.1
3-methoxyphenyl ß-d-glucopyranoside,COc1cccc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c1,22,80.7
3-hydroxyphenyl ß-d-glucopyranoside,OC[C@H]1O[C@@H](Oc2cccc(O)c2)[C@H](O)[C@@H](O)[C@@H]1O,22,90.1
3-bromophenyl β-d-galactopyranoside,OC[C@H]1O[C@@H](Oc2cccc(Br)c2)[C@H](O)[C@@H](O)[C@H]1O,22,35.9
2-bromophenyl β-d-galactopyranoside,OC[C@H]1O[C@@H](Oc2ccccc2Br)[C@H](O)[C@@H](O)[C@H]1O,22,71.2
3-acetamidophenyl ß-d-galactopyranoside,CC(=O)Nc1cccc(O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)c1,22,72.1
4-trifluoromethoxyphenyl ß-d-glucopyranoside,OC[C@H]1O[C@@H](Oc2ccc(OC(F)(F)F)cc2)[C@H](O)[C@@H](O)[C@@H]1O,22,57.4
phenyl alpha-d-glucopyranoside,OC[C@H]1O[C@H](Oc2ccccc2)[C@H](O)[C@@H](O)[C@@H]1O,22,69.7
4-fluorophenyl alpha-d-glucopyranoside,OC[C@H]1O[C@H](Oc2ccc(F)cc2)[C@H](O)[C@@H](O)[C@@H]1O,22,80.7
4-bromophenyl alpha-d-glucopyranoside,OC[C@H]1O[C@H](Oc2ccc(Br)cc2)[C@H](O)[C@@H](O)[C@@H]1O,22,75.4
4-ethoxyphenyl β-d-glucopyranoside,CCOc1ccc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1,22,31.8
4-propoxyphenyl β-d-glucopyranoside,CCCOc1ccc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1,22,39.7
2-methoxyphenyl β-d-glucopyranoside,COc1ccccc1O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O,22,54.4
4-trifluoromethoxyphenyl ß-d-galactopyranoside,OC[C@H]1O[C@@H](Oc2ccc(OC(F)(F)F)cc2)[C@H](O)[C@@H](O)[C@H]1O,22,72.3
2-acetamidophenyl β-d-galactopyranoside,CC(=O)Nc1ccccc1O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O,22,27.1
ethyl 4-(β-d-galactopyranosyloxy)benzoate,CCOC(=O)c1ccc(O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)cc1,22,76.3
isopropyl 4-(ß-d-glucopyranosyloxy)benzoate,CC(C)OC(=O)c1ccc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1,22,35.1
ethyl 4-(β-d-glucopyranosyloxy)benzoate,CCOC(=O)c1ccc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1,22,5.8
4-pentanamidophenyl β-d-glucopyranoside,CCCCC(=O)Nc1ccc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1,22,17.8
methyl 3-(β-d-galactopyranosyloxy)benzoate,COC(=O)c1cccc(O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)c1,22,56.9
4-methoxyphenyl ß-d-xylopyranoside,COc1ccc(O[C@@H]2OC[C@@H](O)[C@H](O)[C@H]2O)cc1,22,47.1
4-methoxyphenyl ß-d-mannopyranoside,COc1ccc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]2O)cc1,22,77.7
4-methoxyphenyl α-d-mannopyranoside,COc1ccc(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]2O)cc1,22,73.8
4-(β-d-glucopyranosyloxy)-benzoic acid,OC[C@H]1O[C@@H](Oc2ccc(cc2)C(O)=O)[C@H](O)[C@@H](O)[C@@H]1O,22,73.3
4-(β-d-galactopyranosyloxy)-benzoic acid,OC[C@H]1O[C@@H](Oc2ccc(cc2)C(O)=O)[C@H](O)[C@@H](O)[C@H]1O,22,82.5
benzyl β-d-glucopyranoside,OC[C@H]1O[C@@H](OCc2ccccc2)[C@H](O)[C@@H](O)[C@@H]1O,22,71.9
n-phenyl ß-d-glucopyranoside,O[C@@H]([C@@H]([C@H]1O)O)[C@@H](CO)O[C@H]1Nc2ccccc2,22,55.3
s-phenyl-1-thio-β-d-glucopyranoside,S(c1ccccc1)[C@@H]2O[C@@H]([C@@H](O)[C@H](O)[C@H]2O)CO,22,55.3
4-methoxybenzyl ß-d-glucopyranoside,COc1ccc(CO[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1,22,69.1
n-(4-methoxyphenyl)-1-ß-d-glucopyranoside,O[C@H]([C@H](O[C@H]1Nc2ccc(OC)cc2)CO)[C@H](O)[C@H]1O,22,62.1
4-methoxyphenyl-1-thio-ß-d-glucopyranoside,O[C@H]([C@H](O[C@H]1Sc2ccc(OC)cc2)CO)[C@H](O)[C@H]1O,22,80.0
"1,4-bis-(ß-d-glucopyranosyl)benzene",OC[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)c2ccc(cc2)[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O,22,34.1
"1,4-bis-(ß-d-galactopyranosyl)benzene",OC[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@H]1O)c2ccc(cc2)[C@@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O,22,79.2
1-o-(ß-d-glucopyranosyl)-4-o-(ß-d-galactopyranosyl)benzene,OC[C@H]1O[C@@H](c2ccc([C@@H]3O[C@@H]([C@H]([C@@H]([C@H]3O)O)O)CO)cc2)[C@@H]([C@H]([C@H]1O)O)O,22,58.0
"1,3-bis-(ß-d-glucopyranosyl)benzene",OC[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)c2cccc(c2)[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O,22,61.0
6-o-(4-methoxyphenyl)-d-glucopyranoside,OC1O[C@@H]([C@H]([C@@H]([C@H]1O)O)O)COC2=CC=C(OC)C=C2,22,82.5
(4-pyridinyl) β-d-glucopyranoside,OC[C@H]1O[C@@H](Oc2ccncc2)[C@H](O)[C@@H](O)[C@@H]1O,22,51.6
4-methoxyphenyl-6-o-(α-d-galactopyranosyl) β-d-glucopyranoside,O[C@H]([C@H]([C@@H]([C@@H](CO[C@@H]1[C@@H]([C@H]([C@H]([C@@H](CO)O1)O)O)O)O2)O)O)[C@@H]2OC3=CC=C(OC)C=C3,22,66.1
4-methoxyphenyl-6-o-(α-d-glucopyranosyl) ß-d-glucopyranoside,O[C@H]([C@H]([C@@H]([C@@H](CO[C@@H]1[C@@H]([C@H]([C@@H]([C@@H](CO)O1)O)O)O)O2)O)O)[C@@H]2OC3=CC=C(OC)C=C3,22,66.8
4-methoxyphenyl-6-o-(ß-d-glucopyranosyl) ß-d-glucopyranoside,O[C@@H]1[C@@H](O)[C@H](O)[C@H](O[C@H]1OC2=CC=C(C=C2)OC)CO[C@H]3[C@H](O)[C@@H](O)[C@H](O)[C@H](O3)CO,22,61.6
4-methoxyphenyl-4-o-(ß-d-galactopyranosyl) ß-d-glucopyranoside,O[C@H]1[C@H](O)[C@H](O)[C@H](CO)O[C@@H]1O[C@H]([C@@H](CO)O[C@H]2OC3=CC=C(OC)C=C3)[C@H](O)[C@H]2O,22,44.5
2-amino β-d-galactopyranoside,Nc1ccccc1O[C@@H]2O[C@@H]([C@@H]([C@@H]([C@H]2O)O)O)CO,22,83.9
2-amino-3-(β-d-galactopyranosyloxy)-benzoic acid,Nc1c(O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)cccc1C(O)=O,22,40.5
2-amino-3-(β-d-glucopyranosyloxy)-benzoic acid,Nc1c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cccc1C(O)=O,22,88.6
4-aminophenyl β-d-glucopyranoside,Nc1ccc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1,22,88.8
4-acetamidophenyl β-d-glucopyranoside,CC(=O)Nc1ccc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1,22,70.2
"n-(2,2,3,3,4,4,4-heptafluoro)butyl-d-gluconamide",OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(=O)NCC(F)(F)C(F)(F)C(F)(F)F,22,32.8
n-phenyl-d-gluconamide,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(=O)Nc1ccccc1,22,65.7
n-3-fluorophenyl-d-gluconamide,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(=O)Nc1cccc(F)c1,22,9.4
n-4-fluorophenyl-d-gluconamide,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(=O)Nc1ccc(F)cc1,22,90.3
n-benzyl-d-gluconamide,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(=O)NCc1ccccc1,22,38.1
n-2-fluorobenzyl-d-gluconamide,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(=O)NCc1ccccc1F,22,35.4
n-3-fluorobenzyl-d-gluconamide,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(=O)NCc1cccc(F)c1,22,30.7
n-4-fluorobenzyl-d-gluconamide,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(=O)NCc1ccc(F)cc1,22,19.7
n-2-phenylethyl-d-gluconamide,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(=O)NCCc1ccccc1,22,29.7
n-2-(2-fluoro)phenylethyl-d-gluconamide,OC[C@H]([C@H]([C@@H]([C@H](C(NCCc1c(F)cccc1)=O)O)O)O)O,22,20.6
n-2-(3-fluoro)phenylethyl-d-gluconamide,OC[C@H]([C@H]([C@@H]([C@H](C(NCCc1cc(F)ccc1)=O)O)O)O)O,22,30.2
n-2-(4-fluoro)phenylethyl-d-gluconamide,OC[C@H]([C@H]([C@@H]([C@H](C(NCCc1ccc(F)cc1)=O)O)O)O)O,22,69.0
"n-2,5-difluorobenzyl-d-gluconamide",OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(NCc1cc(F)ccc1F)=O,22,9.7
n-4-bromophenyl-d-gluconamide,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(=O)Nc1ccc(Br)cc1,22,75.0
n-2-fluorophenyl-d-gluconamide,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(=O)Nc1ccccc1F,22,3.0
"n-3,5-difluorophenyl-d-gluconamide",OC[C@H]([C@H]([C@@H]([C@H](C(Nc1cc(F)cc(F)c1)=O)O)O)O)O,22,4.4
n-3-bromophenyl-d-gluconamide,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(=O)Nc1cccc(Br)c1,22,40.0
"n-2,6-difluorobenzyl-d-gluconamide",OC[C@H]([C@H]([C@@H]([C@H](C(NCc1c(F)cccc1F)=O)O)O)O)O,22,12.6
n-4-methoxyphenyl-d-gluconamide,COc1ccc(NC(=O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO)cc1,22,3.9
n-4-methoxybenzyl-d-gluconamide,COc1ccc(CNC(=O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO)cc1,22,6.5
n-4-methylbenzyl-d-gluconamide,Cc1ccc(CNC(=O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO)cc1,22,5.0
n-2-methoxybenzyl-d-gluconamide,COc1ccccc1CNC(=O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,22,72.8
n-2-methoxyphenyl-d-gluconamide,COc1ccccc1NC(=O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,22,100.0
2-phenylhydrazide-d-gluconic acid,OC[C@H]([C@H]([C@@H]([C@H](C(NNC1=CC=CC=C1)=O)O)O)O)O,22,81.1
2-(2-fluoro)phenylhydrazide-d-gluconic acid,OC[C@H]([C@H]([C@@H]([C@H](C(NNC1=C(F)C=CC=C1)=O)O)O)O)O,22,68.7
n-1-naphthyl-d-gluconamide,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(=O)Nc1cccc2ccccc12,22,103.8
1-deoxy-1-[(2-fluorophenylmethyl)amino]-d-glucitol,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)CNCc1ccccc1F,22,30.5
"1,4-bis-(d-gluconamide)benzene",O=C(Nc1ccc(NC([C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)=O)cc1)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,22,66.7
n-octyl-d-galactonamide ,CCCCCCCCNC(=O)[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO,0.5,72.2
n-octanoyl-n-methyl-d-glucamine,CCCCCCCC(=O)N(C)C[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,22,66.3
n-methyl-n-octyl-d-gluconamide,CCCCCCCCN(C)C(=O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,22,71.9
1-o-octyl-d-glucitol,CCCCCCCCOC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,22,59.8
n-octyl-l-mannonamide,CCCCCCCCNC(=O)[C@H](O)[C@H](O)[C@@H](O)[C@@H](O)CO,22,22.0
n-octyl-d-gluconamide,CCCCCCCCNC(=O)[C@H](O)[C@H](O)[C@@H](O)[C@H](O)CO,22,72.4
n-butyl-erythronamide,CCCCNC(=O)[C@H](O)[C@H](O)CO,22,71.2
n-pentyl-erythronamide,CCCCCNC(=O)[C@H](O)[C@H](O)CO,22,73.6
n-hexyl-erythronamide,CCCCCCNC(=O)[C@H](O)[C@H](O)CO,22,68.7
n-octyl-erythronamide,CCCCCCCCNC(=O)[C@H](O)[C@H](O)CO,22,56.3
n-octyl-d-gluconamide,CCCCCCCCNC(=O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,0.5,12.1
d-gluconamide,NC([C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)=O,22,52.5
n-methyl-gluconamide,CNC(=O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,22,102.5
n-ethyl-gluconamide,CCNC(=O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,22,104.3
n-propyl-gluconamide,CCCNC(=O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,22,87.3
n-butyl-gluconamide,CCCCNC(=O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,22,22.7
n-pentyl-gluconamide,CCCCCNC(=O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,22,12.4
n-hexyl-gluconamide,CCCCCCNC(=O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,22,5.9
